season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_percentile
2025-26,2026-03-23,22500324,2025-12-03T19:00:00-05:00,3,Final,POR,CLE,POR @ CLE,202,202,12,0,12,190,0.2282152283043434,0.374723906497063,0.6090223344374003,-0.4959003379916749,0.6090223344374002,0.0817490980810249,ok,36.39883833494676
2025-26,2026-03-23,22500325,2025-12-03T19:00:00-05:00,3,Final,DEN,IND,DEN @ IND,200,200,102,0,102,98,0.1338842279222276,0.1692201298861264,0.7911838149061968,-0.2342249552703861,0.7911838149061968,0.7292764288612654,ok,58.56727976766699
2025-26,2026-03-23,22500326,2025-12-03T19:00:00-05:00,3,Final,SAS,ORL,SAS @ ORL,210,210,1,1,2,208,0.2296943966432597,0.2385388797725268,0.9629222576307004,-0.0377825997982524,0.9629222576307006,0.902217377247964,ok,75.60503388189738
2025-26,2026-03-23,22500327,2025-12-03T19:30:00-05:00,3,Final,LAC,ATL,LAC @ ATL,193,193,90,0,90,103,0.1940916057609077,0.2390394593158135,0.8119647120874647,-0.2082983977851496,0.8119647120874649,0.6564812142714973,ok,60.50338818973863
2025-26,2026-03-23,22500328,2025-12-03T19:30:00-05:00,3,Final,CHA,NYK,CHA @ NYK,185,185,66,0,66,119,0.2067453206045651,0.2460727855290698,0.8401795434633355,-0.1741396677661345,0.8401795434633357,0.68906401542173,ok,63.79477250726041
2025-26,2026-03-23,22500329,2025-12-03T20:00:00-05:00,3,Final,BKN,CHI,BKN @ CHI,199,199,26,0,26,173,0.243906991554356,0.2339161845402466,1.0427110549607583,0.0418241050021077,1.042711054960758,0.9037145614924572,ok,81.51016456921589
2025-26,2026-03-23,22500330,2025-12-03T20:00:00-05:00,3,Final,SAC,HOU,SAC @ HOU,200,200,50,0,50,150,0.0672219986731278,0.1613335605655957,0.4166646941743802,-0.8754734713465929,0.4166646941743801,0.1698810030661635,ok,15.876089060987416
2025-26,2026-03-23,22500331,2025-12-03T20:00:00-05:00,3,Final,DET,MIL,DET @ MIL,193,193,20,2,22,171,0.1803495596685999,0.2147040715886423,0.8399913347434639,-0.1743637029795761,0.8399913347434641,0.6536776541430868,ok,63.60116166505324
2025-26,2026-03-23,22500332,2025-12-03T20:30:00-05:00,3,Final,MIA,DAL,MIA @ DAL,202,202,12,0,12,190,0.1393217280665083,0.1645718568942671,0.8465707970714501,-0.166561445854243,0.8465707970714502,0.7011681823989928,ok,64.76282671829622
2025-26,2026-03-23,22500333,2025-12-04T19:00:00-05:00,3,Final,GSW,PHI,GSW @ PHI,192,192,114,1,115,77,0.2034028980630063,0.3052679066736398,0.6663094731424329,-0.406001041981421,0.6663094731424329,0.4181884372396435,ok,45.01452081316554
