season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,fit_status,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,fit_method,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,wmi_controlledgame_percentile
2020-21,0022000032,20201227,BKN,CHA,BKN @ CHA,data.nba.com mobile_teams v2015 play-by-play,207,ok,207,1,1,2,207,glm_poisson_log_raw_controls,0.145711732129594,0.21344833037481067,0.6826557597041278,-0.38176455861438835,0.6826557597041278,0.3208888267685628,38.85473388371685
2020-21,0022000033,20201227,ORL,WAS,ORL @ WAS,data.nba.com mobile_teams v2015 play-by-play,201,ok,201,11,2,13,201,glm_poisson_log_raw_controls,0.17836344863357448,0.21686841131696794,0.8224501094946657,-0.195467455331672,0.8224501094946657,0.573256456777355,57.75513788863517
2020-21,0022000034,20201227,SAS,NOP,SAS @ NOP,data.nba.com mobile_teams v2015 play-by-play,201,ok,201,3,1,4,201,glm_poisson_log_raw_controls,0.13924277886046907,0.2540956753005396,0.5479935016437227,-0.6014918504188065,0.5479935016437227,0.09682785085250077,20.973124890216056
2020-21,0022000035,20201227,PHI,CLE,PHI @ CLE,data.nba.com mobile_teams v2015 play-by-play,199,ok,199,131,0,131,199,glm_poisson_log_raw_controls,0.17896299035403682,0.24533219366276093,0.7294720993692468,-0.31543415798888397,0.7294720993692468,0.3498154414427709,45.47690145793079
2020-21,0022000036,20201227,MIL,NYK,MIL @ NYK,data.nba.com mobile_teams v2015 play-by-play,198,ok,198,82,1,82,198,glm_poisson_log_raw_controls,0.29516574285199243,0.22072700305183143,1.337243467137916,0.2906103811212834,1.337243467137916,0.33144200425238934,93.74670648164413
2020-21,0022000037,20201227,BOS,IND,BOS @ IND,data.nba.com mobile_teams v2015 play-by-play,203,ok,203,0,1,1,203,glm_poisson_log_raw_controls,0.11363348345469995,0.24133054769447282,0.47086241066572826,-0.7531893493703975,0.47086241066572826,0.06170231549834407,12.770068505181802
2020-21,0022000038,20201227,GSW,CHI,GSW @ CHI,data.nba.com mobile_teams v2015 play-by-play,228,ok,228,0,0,0,228,glm_poisson_log_raw_controls,0.18321485319557623,0.2559165856747966,0.7159162924609923,-0.3341920288266758,0.7159162924609923,0.27782486958183794,43.474442297558404
2020-21,0022000039,20201227,PHX,SAC,PHX @ SAC,data.nba.com mobile_teams v2015 play-by-play,197,ok,197,27,0,27,197,glm_poisson_log_raw_controls,0.08764575940629776,0.27228325460735736,0.321891845801117,-1.133539672464152,0.321891845801117,0.010640849798857452,3.073950465483928
2020-21,0022000040,20201227,MIN,LAL,MIN @ LAL,data.nba.com mobile_teams v2015 play-by-play,211,ok,211,175,1,175,211,glm_poisson_log_raw_controls,0.25788049887735054,0.1701197447997911,1.5158763562738848,0.41599372470795687,1.5158763562738848,0.20774346108156871,96.99631125944141
2020-21,0022000041,20201228,DET,ATL,DET @ ATL,data.nba.com mobile_teams v2015 play-by-play,201,ok,201,25,3,28,201,glm_poisson_log_raw_controls,0.2699901805007215,0.2596993793121708,1.0396258212699871,0.03886086117392661,1.0396258212699871,0.8916221218939494,79.76462322150009
2020-21,0022000042,20201228,MEM,BKN,MEM @ BKN,data.nba.com mobile_teams v2015 play-by-play,220,ok,220,0,2,2,220,glm_poisson_log_raw_controls,0.18084493692158232,0.1578589383100904,1.1456110047208052,0.135938123254228,1.1456110047208052,0.7219717746376308,86.29896363955734
2020-21,0022000043,20201228,UTA,OKC,UTA @ OKC,data.nba.com mobile_teams v2015 play-by-play,199,ok,199,0,0,0,199,glm_poisson_log_raw_controls,0.10257021131186775,0.19928331447032835,0.5146954303951002,-0.6641799505538242,0.5146954303951002,0.14319134133697517,16.880379413314596
2020-21,0022000044,20201228,HOU,DEN,HOU @ DEN,data.nba.com mobile_teams v2015 play-by-play,205,ok,205,78,0,78,205,glm_poisson_log_raw_controls,0.2964498318900196,0.2310644419749468,1.2829746946618563,0.2491813618706758,1.2829746946618563,0.38368691735600513,91.99016335851044
2020-21,0022000045,20201228,POR,LAL,POR @ LAL,data.nba.com mobile_teams v2015 play-by-play,197,ok,197,0,0,0,197,glm_poisson_log_raw_controls,0.04621171496736965,0.189277223426727,0.2441483139425866,-1.4099793943242946,0.2441483139425866,0.023991917147377036,1.0714913051115404
2020-21,0022000046,20201229,NYK,CLE,NYK @ CLE,data.nba.com mobile_teams v2015 play-by-play,197,ok,197,4,0,4,197,glm_poisson_log_raw_controls,0.23279717229358762,0.2036717833475042,1.1430015904382287,0.13365777627122327,1.1430015904382287,0.6847101049608668,86.17600562093799
2020-21,0022000047,20201229,GSW,DET,GSW @ DET,data.nba.com mobile_teams v2015 play-by-play,197,ok,197,0,0,0,197,glm_poisson_log_raw_controls,0.36880551390359173,0.34472310144588253,1.069860164162772,0.06752795223508963,1.069860164162772,0.7843464317540603,81.94273669418585
2020-21,0022000048,20201229,BOS,IND,BOS @ IND,data.nba.com mobile_teams v2015 play-by-play,200,ok,200,5,2,7,200,glm_poisson_log_raw_controls,0.20406740195389678,0.2608801355932975,0.7822266785081343,-0.24561071022607428,0.7822266785081343,0.4402749620842612,52.59090110662217
2020-21,0022000049,20201229,TOR,PHI,TOR @ PHI,data.nba.com mobile_teams v2015 play-by-play,208,ok,208,0,2,2,208,glm_poisson_log_raw_controls,0.15180303647403665,0.211081549333611,0.7191677195533296,-0.32966068065666077,0.7191677195533296,0.3763931299186367,43.98383980326717
2020-21,0022000050,20201229,CHI,WAS,CHI @ WAS,data.nba.com mobile_teams v2015 play-by-play,215,ok,215,18,1,19,215,glm_poisson_log_raw_controls,0.27389044133713014,0.25245791601385353,1.0848954378681495,0.08148361172004187,1.0848954378681495,0.7691207832097804,82.83857368698402
2020-21,0022000051,20201229,MIL,MIA,MIL @ MIA,data.nba.com mobile_teams v2015 play-by-play,205,ok,205,189,0,189,205,glm_poisson_log_raw_controls,0.17312420084507646,0.2432093003944829,0.7118321567648558,-0.3399131302408162,0.7118321567648558,0.3199219730967766,42.91234849815563
2020-21,0022000052,20201229,ORL,OKC,ORL @ OKC,data.nba.com mobile_teams v2015 play-by-play,206,ok,206,0,1,1,206,glm_poisson_log_raw_controls,0.26442362999916985,0.1975877006211398,1.3382595635655636,0.2913699365879287,1.3382595635655636,0.3508298856390082,93.8345336378008
2020-21,0022000053,20201229,NOP,PHX,NOP @ PHX,data.nba.com mobile_teams v2015 play-by-play,185,ok,185,108,0,108,185,glm_poisson_log_raw_controls,0.10074542423996535,0.25104326624442574,0.40130701670315105,-0.9130285169302765,0.40130701670315105,0.03498131442298663,7.307219392236079
