season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_z_score
2025-26,2026-03-24,0022500015,2026-01-19T14:30:00-05:00,3,Final,OKC,CLE,OKC @ CLE,212,212,80,0,80,132,0.20875366259918446,0.31523341355390827,0.6622193385076718,-0.4121584508709516,0.6622193385076717,0.2630494946665253,ok,-0.22325786835500702
2025-26,2026-03-24,0022500016,2026-01-19T17:00:00-05:00,3,Final,DAL,NYK,DAL @ NYK,209,209,142,0,142,67,0.06423400829274226,0.13610224193407347,0.4719540793740676,-0.7508735875912294,0.4719540793740677,0.48913885872996965,ok,-0.6345910221332078
2025-26,2026-03-24,0022500017,2026-01-19T20:00:00-05:00,3,Final,BOS,DET,BOS @ DET,185,185,0,0,0,185,0.3245217021126148,0.343242582671079,0.9454587469515576,-0.056085022769847066,0.9454587469515576,0.8301812076252306,ok,0.3890754587064783
2025-26,2026-03-24,0022500018,2025-10-24T19:30:00-04:00,3,Final,BOS,NYK,BOS @ NYK,186,186,47,0,47,139,0.17598646043548655,0.3163885104174328,0.5562353076706094,-0.5865638590269535,0.5562353076706095,0.12746584781470274,ok,-0.4523840149403001
2025-26,2026-03-24,0022500019,2025-10-24T22:00:00-04:00,3,Final,MIN,LAL,MIN @ LAL,185,185,43,0,43,142,0.2808338087672108,0.34370176042281253,0.8170857444015903,-0.2020112393210885,0.8170857444015902,0.526151412450023,ok,0.11154674831917599
2025-26,2026-03-24,0022500020,2025-10-31T19:00:00-04:00,3,Final,ATL,IND,ATL @ IND,203,203,83,0,83,120,0.2348614000026215,0.245409244314603,0.9570193684372392,-0.04393164903258301,0.9570193684372393,0.9116503327446737,ok,0.4140682867035342
2025-26,2026-03-24,0022500021,2025-10-31T19:00:00-04:00,3,Final,BOS,PHI,BOS @ PHI,194,194,43,1,44,150,0.19959487507676832,0.23023365678232346,0.8669230983264846,-0.14280500472091673,0.8669230983264847,0.7164839788789428,ok,0.21928978064801666
2025-26,2026-03-24,0022500022,2025-10-31T19:30:00-04:00,3,Final,TOR,CLE,TOR @ CLE,195,195,0,0,0,195,0.19291822356744076,0.20292645794023947,0.9506804855592262,-0.05057725021971587,0.9506804855592261,0.8877779914362421,ok,0.4003642994516481
2025-26,2026-03-24,0022500023,2025-10-31T20:00:00-04:00,3,Final,NYK,CHI,NYK @ CHI,196,196,22,2,24,172,0.1953726690888664,0.3587727269818352,0.5445583077967858,-0.6077802573160777,0.5445583077967857,0.05939115127267615,ok,-0.4776284405734354
2025-26,2026-03-24,0022500024,2025-10-31T21:30:00-04:00,3,Final,LAL,MEM,LAL @ MEM,195,195,1,1,2,193,0.2878288383998727,0.2428869358669032,1.1850321935700845,0.16976994178775423,1.1850321935700843,0.5650789834726448,ok,0.9070076435301626
