season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_game,wmi_game_percentile
2025-26,2026-03-23,22500066,2025-11-26T22:00:00-05:00,3,Final,HOU,GSW,HOU @ GSW,180,70,110,0.3,0.3,1.0,63.297872340425535
2025-26,2026-03-23,22500067,2025-11-26T22:00:00-05:00,3,Final,SAS,POR,SAS @ POR,203,72,131,0.2222222222222222,0.2748091603053435,0.8086419753086419,41.19922630560928
2025-26,2026-03-23,22500068,2025-11-26T22:00:00-05:00,3,Final,PHX,SAC,PHX @ SAC,192,48,144,0.2083333333333333,0.1805555555555555,1.153846153846154,76.69245647969052
2025-26,2026-03-23,22500069,2025-11-28T19:30:00-05:00,3,Final,CLE,ATL,CLE @ ATL,212,54,158,0.1296296296296296,0.1835443037974683,0.706257982120051,27.75628626692456
2025-26,2026-03-23,22500070,2025-11-28T19:30:00-05:00,3,Final,PHI,BKN,PHI @ BKN,196,55,141,0.4545454545454545,0.1702127659574468,2.6704545454545454,100.0
2025-26,2026-03-23,22500071,2025-11-28T19:30:00-05:00,3,Final,CHI,CHA,CHI @ CHA,213,62,151,0.1612903225806451,0.2052980132450331,0.785639958376691,38.684719535783366
2025-26,2026-03-23,22500072,2025-11-28T19:30:00-05:00,3,Final,ORL,DET,ORL @ DET,207,78,129,0.3205128205128205,0.2945736434108527,1.0880566801619431,70.50290135396519
2025-26,2026-03-23,22500073,2025-11-28T19:30:00-05:00,3,Final,WAS,IND,WAS @ IND,200,51,149,0.196078431372549,0.1677852348993288,1.168627450980392,77.4661508704062
2025-26,2026-03-23,22500074,2025-11-28T19:30:00-05:00,3,Final,MIL,NYK,MIL @ NYK,185,78,107,0.141025641025641,0.3738317757009345,0.3772435897435897,2.611218568665377
2025-26,2026-03-23,22500075,2025-11-28T21:30:00-05:00,3,Final,PHX,OKC,PHX @ OKC,211,75,136,0.2,0.2794117647058823,0.7157894736842105,29.01353965183752
2025-26,2026-03-23,22500076,2025-11-28T21:30:00-05:00,3,Final,SAS,DEN,SAS @ DEN,201,74,127,0.3378378378378378,0.2598425196850393,1.3001638001638005,85.58994197292068
2025-26,2026-03-23,22500077,2025-11-28T21:30:00-05:00,3,Final,SAC,UTA,SAC @ UTA,206,74,132,0.2297297297297297,0.2803030303030303,0.8195763330898467,42.649903288201166
2025-26,2026-03-23,22500078,2025-11-28T22:00:00-05:00,3,Final,DAL,LAL,DAL @ LAL,188,64,124,0.328125,0.2419354838709677,1.35625,88.00773694390716
2025-26,2026-03-23,22500079,2025-11-28T22:00:00-05:00,3,Final,MEM,LAC,MEM @ LAC,196,57,139,0.1228070175438596,0.2086330935251798,0.588626739261948,14.603481624758222
2025-26,2026-03-23,22500080,2025-10-22T19:00:00-04:00,3,Final,BKN,CHA,BKN @ CHA,211,84,127,0.4404761904761904,0.2755905511811024,1.598299319727891,95.26112185686654
2025-26,2026-03-23,22500081,2025-10-22T19:00:00-04:00,3,Final,MIA,ORL,MIA @ ORL,219,79,140,0.189873417721519,0.2857142857142857,0.6645569620253166,22.340425531914892
2025-26,2026-03-23,22500082,2025-10-22T19:30:00-04:00,3,Final,TOR,ATL,TOR @ ATL,224,80,144,0.3,0.2569444444444444,1.1675675675675676,77.36943907156673
2025-26,2026-03-23,22500083,2025-10-22T19:30:00-04:00,3,Final,PHI,BOS,PHI @ BOS,199,75,124,0.3866666666666666,0.2580645161290322,1.4983333333333333,93.036750483559
2025-26,2026-03-23,22500084,2025-10-22T20:00:00-04:00,3,Final,DET,CHI,DET @ CHI,210,77,133,0.2337662337662337,0.2932330827067669,0.7972027972027972,39.74854932301741
2025-26,2026-03-23,22500085,2025-10-22T20:00:00-04:00,3,Final,NOP,MEM,NOP @ MEM,216,89,127,0.3370786516853932,0.3464566929133858,0.9729315628192032,60.9284332688588
2025-26,2026-03-23,22500086,2025-10-22T20:00:00-04:00,3,Final,WAS,MIL,WAS @ MIL,214,62,152,0.3225806451612903,0.1907894736842105,1.6907675194660732,96.61508704061896
2025-26,2026-03-23,22500087,2025-10-22T21:00:00-04:00,3,Final,LAC,UTA,LAC @ UTA,189,68,121,0.1617647058823529,0.2975206611570248,0.5437091503267975,11.508704061895552
2025-26,2026-03-23,22500088,2025-10-22T22:00:00-04:00,3,Final,SAC,PHX,SAC @ PHX,201,64,137,0.203125,0.2408759124087591,0.8432765151515151,45.45454545454545
2025-26,2026-03-23,22500089,2025-10-22T22:00:00-04:00,3,Final,MIN,POR,MIN @ POR,206,70,136,0.3428571428571428,0.2426470588235294,1.412987012987013,90.715667311412
2025-26,2026-03-23,22500090,2025-10-24T19:00:00-04:00,3,Final,ATL,ORL,ATL @ ORL,204,70,134,0.3,0.2611940298507462,1.1485714285714286,76.20889748549324
2025-26,2026-03-23,22500091,2025-10-24T19:30:00-04:00,3,Final,CLE,BKN,CLE @ BKN,207,71,136,0.3098591549295774,0.2352941176470588,1.3169014084507042,86.17021276595744
2025-26,2026-03-23,22500092,2025-10-24T18:30:00-04:00,3,Final,MIL,TOR,MIL @ TOR,208,75,133,0.1466666666666666,0.2781954887218045,0.5272072072072073,10.541586073500966
2025-26,2026-03-23,22500093,2025-10-24T20:00:00-04:00,3,Final,DET,HOU,DET @ HOU,198,87,111,0.264367816091954,0.3693693693693693,0.7157275021026073,28.91682785299807
