season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900035,2019-10-26,LAC,PHX,LAC @ PHX,122,130,,208,90,118,0.28888888888888886,0.3898305084745763,0.7410628019323671,data.nba.com mobile_teams v2015 play-by-play,30.9375
2019-20,2019,Regular Season,0021900036,2019-10-27,GSW,OKC,GSW @ OKC,92,120,,205,64,141,0.15625,0.23404255319148937,0.6676136363636364,data.nba.com mobile_teams v2015 play-by-play,22.25360576923077
2019-20,2019,Regular Season,0021900037,2019-10-27,BKN,MEM,BKN @ MEM,133,134,,235,91,144,0.24175824175824176,0.3125,0.7736263736263737,data.nba.com mobile_teams v2015 play-by-play,34.74759615384615
2019-20,2019,Regular Season,0021900038,2019-10-27,POR,DAL,POR @ DAL,121,119,,215,80,135,0.275,0.28888888888888886,0.9519230769230771,data.nba.com mobile_teams v2015 play-by-play,55.00000000000001
2019-20,2019,Regular Season,0021900039,2019-10-27,MIA,MIN,MIA @ MIN,109,116,,205,66,139,0.19696969696969696,0.2302158273381295,0.8555871212121211,data.nba.com mobile_teams v2015 play-by-play,43.99038461538461
2019-20,2019,Regular Season,0021900040,2019-10-27,CHA,LAL,CHA @ LAL,101,120,,201,65,136,0.24615384615384617,0.23529411764705882,1.0461538461538462,data.nba.com mobile_teams v2015 play-by-play,64.75360576923077
2019-20,2019,Regular Season,0021900041,2019-10-28,IND,DET,IND @ DET,94,96,,190,51,139,0.0784313725490196,0.19424460431654678,0.4037763253449528,data.nba.com mobile_teams v2015 play-by-play,3.4735576923076925
2019-20,2019,Regular Season,0021900042,2019-10-28,CHI,NYK,CHI @ NYK,98,105,,189,65,124,0.24615384615384617,0.2661290322580645,0.924941724941725,data.nba.com mobile_teams v2015 play-by-play,51.99519230769231
2019-20,2019,Regular Season,0021900043,2019-10-28,PHI,ATL,PHI @ ATL,105,103,,211,82,129,0.35365853658536583,0.3023255813953488,1.1697936210131332,data.nba.com mobile_teams v2015 play-by-play,75.02403846153847
2019-20,2019,Regular Season,0021900044,2019-10-28,ORL,TOR,ORL @ TOR,95,104,,208,66,142,0.25757575757575757,0.22535211267605634,1.142992424242424,data.nba.com mobile_teams v2015 play-by-play,73.125
