season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500044,2025-11-14T20:00:00-05:00,3,Final,SAC,MIN,SAC @ MIN,208,78,130,0.20512820512820512,0.3076923076923077,0.6666666666666666,-0.7462857759807707
2025-26,2026-03-23,0022500045,2025-11-14T20:00:00-05:00,3,Final,LAL,NOP,LAL @ NOP,207,60,147,0.26666666666666666,0.2108843537414966,1.264516129032258,0.9198564222179841
2025-26,2026-03-23,0022500046,2025-11-14T20:30:00-05:00,3,Final,LAC,DAL,LAC @ DAL,249,89,160,0.3258426966292135,0.2625,1.2413055109684323,0.8551709242175431
2025-26,2026-03-23,0022500047,2025-11-14T21:30:00-05:00,3,Final,GSW,SAS,GSW @ SAS,193,50,143,0.22,0.17482517482517482,1.2584,0.9028114279313755
2025-26,2026-03-23,0022500048,2025-11-21T19:00:00-05:00,3,Final,IND,CLE,IND @ CLE,205,74,131,0.28378378378378377,0.26717557251908397,1.0621621621621622,0.35591766438899697
2025-26,2026-03-23,0022500049,2025-11-21T19:30:00-05:00,3,Final,BKN,BOS,BKN @ BOS,192,66,126,0.22727272727272727,0.25396825396825395,0.8948863636363636,-0.11026200826377326
2025-26,2026-03-23,0022500050,2025-11-21T19:30:00-05:00,3,Final,WAS,TOR,WAS @ TOR,209,72,137,0.2361111111111111,0.25547445255474455,0.9242063492063491,-0.028550359623269284
2025-26,2026-03-23,0022500051,2025-11-21T20:00:00-05:00,3,Final,MIA,CHI,MIA @ CHI,217,76,141,0.2631578947368421,0.2907801418439716,0.9050064184852376,-0.0820585030451238
2025-26,2026-03-23,0022500052,2025-11-21T20:30:00-05:00,3,Final,NOP,DAL,NOP @ DAL,210,66,144,0.22727272727272727,0.22916666666666666,0.9917355371900827,0.15964622963951688
2025-26,2026-03-23,0022500053,2025-11-21T21:00:00-05:00,3,Final,MIN,PHX,MIN @ PHX,206,76,130,0.3026315789473684,0.27692307692307694,1.0928362573099415,0.44140307089092007
2025-26,2026-03-23,0022500054,2025-11-21T21:30:00-05:00,3,Final,DEN,HOU,DEN @ HOU,188,64,124,0.296875,0.25806451612903225,1.150390625,0.6018009080314232
2025-26,2026-03-23,0022500055,2025-11-21T22:00:00-05:00,3,Final,OKC,UTA,OKC @ UTA,205,58,147,0.2413793103448276,0.19727891156462585,1.2235434007134365,0.8056698319060972
2025-26,2026-03-23,0022500056,2025-11-21T22:00:00-05:00,3,Final,POR,GSW,POR @ GSW,201,77,124,0.18181818181818182,0.29838709677419356,0.6093366093366094,-0.9060584842555349
2025-26,2026-03-23,0022500057,2025-11-25T19:00:00-05:00,3,Final,ATL,WAS,ATL @ WAS,205,62,143,0.11290322580645161,0.22377622377622378,0.5045362903225806,-1.1981257100134255
2025-26,2026-03-23,0022500058,2025-11-25T20:00:00-05:00,3,Final,ORL,PHI,ORL @ PHI,211,63,148,0.31746031746031744,0.20270270270270271,1.566137566137566,1.7604429508969952
2025-26,2026-03-23,0022500059,2025-11-25T23:00:00-05:00,3,Final,LAC,LAL,LAC @ LAL,191,68,123,0.2647058823529412,0.2845528455284553,0.9302521008403362,-0.01170149958188474
2025-26,2026-03-23,0022500060,2025-11-26T17:00:00-05:00,3,Final,DET,BOS,DET @ BOS,192,68,124,0.2647058823529412,0.2661290322580645,0.9946524064171124,0.16777523068695732
2025-26,2026-03-23,0022500061,2025-11-26T19:00:00-05:00,3,Final,NYK,CHA,NYK @ CHA,196,61,135,0.09836065573770492,0.23703703703703705,0.4149590163934426,-1.4477679452048642
2025-26,2026-03-23,0022500062,2025-11-26T19:30:00-05:00,3,Final,MIL,MIA,MIL @ MIA,200,41,159,0.0975609756097561,0.13836477987421383,0.7050997782705101,-0.6391768245101618
2025-26,2026-03-23,0022500063,2025-11-26T19:30:00-05:00,3,Final,IND,TOR,IND @ TOR,200,62,138,0.20967741935483872,0.21739130434782608,0.9645161290322581,0.08378866448875319
2025-26,2026-03-23,0022500064,2025-11-26T19:30:00-05:00,3,Final,MIN,OKC,MIN @ OKC,197,86,111,0.2441860465116279,0.38738738738738737,0.6303407247160627,-0.8475222720942495
2025-26,2026-03-23,0022500065,2025-11-26T20:00:00-05:00,3,Final,MEM,NOP,MEM @ NOP,216,59,157,0.2033898305084746,0.17834394904458598,1.1404358353510897,0.5740579791633212
2025-26,2026-03-23,0022500066,2025-11-26T22:00:00-05:00,3,Final,HOU,GSW,HOU @ GSW,180,70,110,0.3,0.3,1.0,0.1826783992739309
