season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,error_message
2021-22,2021,Regular Season,0022100824,2022-02-08,MIN,SAC,MIN @ SAC,134,114,,No mobile play-by-play rows found for game_id 0022100824.
2021-22,2021,Regular Season,0022100825,2022-02-09,SAS,CLE,SAS @ CLE,92,105,,No mobile play-by-play rows found for game_id 0022100825.
2021-22,2021,Regular Season,0022100826,2022-02-09,CHI,CHA,CHI @ CHA,121,109,,No mobile play-by-play rows found for game_id 0022100826.
2021-22,2021,Regular Season,0022100827,2022-02-09,TOR,OKC,TOR @ OKC,117,98,,No mobile play-by-play rows found for game_id 0022100827.
2021-22,2021,Regular Season,0022100828,2022-02-09,GSW,UTA,GSW @ UTA,85,111,,No mobile play-by-play rows found for game_id 0022100828.
2021-22,2021,Regular Season,0022100830,2022-02-09,MIN,SAC,MIN @ SAC,119,132,,No mobile play-by-play rows found for game_id 0022100830.
2021-22,2021,Regular Season,0022100829,2022-02-09,LAL,POR,LAL @ POR,105,107,,No mobile play-by-play rows found for game_id 0022100829.
2021-22,2021,Regular Season,0022100831,2022-02-10,MEM,DET,MEM @ DET,132,107,,No mobile play-by-play rows found for game_id 0022100831.
2021-22,2021,Regular Season,0022100832,2022-02-10,BKN,WAS,BKN @ WAS,112,113,,No mobile play-by-play rows found for game_id 0022100832.
2021-22,2021,Regular Season,0022100833,2022-02-10,MIA,NOP,MIA @ NOP,112,97,,No mobile play-by-play rows found for game_id 0022100833.
2021-22,2021,Regular Season,0022100834,2022-02-10,TOR,HOU,TOR @ HOU,139,120,,No mobile play-by-play rows found for game_id 0022100834.
2021-22,2021,Regular Season,0022100835,2022-02-10,LAC,DAL,LAC @ DAL,105,112,,No mobile play-by-play rows found for game_id 0022100835.
2021-22,2021,Regular Season,0022100836,2022-02-10,MIL,PHX,MIL @ PHX,107,131,,No mobile play-by-play rows found for game_id 0022100836.
2021-22,2021,Regular Season,0022100837,2022-02-10,NYK,GSW,NYK @ GSW,116,114,,No mobile play-by-play rows found for game_id 0022100837.
2021-22,2021,Regular Season,0022100838,2022-02-11,CHA,DET,CHA @ DET,141,119,,No mobile play-by-play rows found for game_id 0022100838.
2021-22,2021,Regular Season,0022100839,2022-02-11,CLE,IND,CLE @ IND,120,113,,No mobile play-by-play rows found for game_id 0022100839.
2021-22,2021,Regular Season,0022100841,2022-02-11,SAS,ATL,SAS @ ATL,136,121,,No mobile play-by-play rows found for game_id 0022100841.
2021-22,2021,Regular Season,0022100842,2022-02-11,DEN,BOS,DEN @ BOS,102,108,,No mobile play-by-play rows found for game_id 0022100842.
2021-22,2021,Regular Season,0022100843,2022-02-11,MIN,CHI,MIN @ CHI,122,134,,No mobile play-by-play rows found for game_id 0022100843.
2021-22,2021,Regular Season,0022100840,2022-02-11,OKC,PHI,OKC @ PHI,87,100,,No mobile play-by-play rows found for game_id 0022100840.
2021-22,2021,Regular Season,0022100844,2022-02-11,ORL,UTA,ORL @ UTA,99,114,,No mobile play-by-play rows found for game_id 0022100844.
2021-22,2021,Regular Season,0022100846,2022-02-12,MEM,CHA,MEM @ CHA,125,118,,No mobile play-by-play rows found for game_id 0022100846.
2021-22,2021,Regular Season,0022100845,2022-02-12,NYK,POR,NYK @ POR,103,112,,No mobile play-by-play rows found for game_id 0022100845.
2021-22,2021,Regular Season,0022100847,2022-02-12,SAC,WAS,SAC @ WAS,123,110,,No mobile play-by-play rows found for game_id 0022100847.
2021-22,2021,Regular Season,0022100848,2022-02-12,SAS,NOP,SAS @ NOP,124,114,,No mobile play-by-play rows found for game_id 0022100848.
2021-22,2021,Regular Season,0022100849,2022-02-12,CLE,PHI,CLE @ PHI,93,103,,No mobile play-by-play rows found for game_id 0022100849.
2021-22,2021,Regular Season,0022100850,2022-02-12,DEN,TOR,DEN @ TOR,110,109,,No mobile play-by-play rows found for game_id 0022100850.
2021-22,2021,Regular Season,0022100852,2022-02-12,OKC,CHI,OKC @ CHI,101,106,,No mobile play-by-play rows found for game_id 0022100852.
2021-22,2021,Regular Season,0022100853,2022-02-12,LAC,DAL,LAC @ DAL,99,97,,No mobile play-by-play rows found for game_id 0022100853.
2021-22,2021,Regular Season,0022100851,2022-02-12,BKN,MIA,BKN @ MIA,111,115,,No mobile play-by-play rows found for game_id 0022100851.
2021-22,2021,Regular Season,0022100855,2022-02-12,ORL,PHX,ORL @ PHX,105,132,,No mobile play-by-play rows found for game_id 0022100855.
2021-22,2021,Regular Season,0022100854,2022-02-12,LAL,GSW,LAL @ GSW,115,117,,No mobile play-by-play rows found for game_id 0022100854.
2021-22,2021,Regular Season,0022100856,2022-02-13,ATL,BOS,ATL @ BOS,95,105,,No mobile play-by-play rows found for game_id 0022100856.
2021-22,2021,Regular Season,0022100857,2022-02-13,MIN,IND,MIN @ IND,129,120,,No mobile play-by-play rows found for game_id 0022100857.
2021-22,2021,Regular Season,0022100858,2022-02-14,DET,WAS,DET @ WAS,94,103,,No mobile play-by-play rows found for game_id 0022100858.
2021-22,2021,Regular Season,0022100859,2022-02-14,SAC,BKN,SAC @ BKN,85,109,,No mobile play-by-play rows found for game_id 0022100859.
2021-22,2021,Regular Season,0022100862,2022-02-14,POR,MIL,POR @ MIL,122,107,,No mobile play-by-play rows found for game_id 0022100862.
2021-22,2021,Regular Season,0022100860,2022-02-14,OKC,NYK,OKC @ NYK,127,123,,No mobile play-by-play rows found for game_id 0022100860.
2021-22,2021,Regular Season,0022100861,2022-02-14,SAS,CHI,SAS @ CHI,109,120,,No mobile play-by-play rows found for game_id 0022100861.
2021-22,2021,Regular Season,0022100863,2022-02-14,TOR,NOP,TOR @ NOP,90,120,,No mobile play-by-play rows found for game_id 0022100863.
2021-22,2021,Regular Season,0022100864,2022-02-14,ORL,DEN,ORL @ DEN,111,121,,No mobile play-by-play rows found for game_id 0022100864.
2021-22,2021,Regular Season,0022100865,2022-02-14,HOU,UTA,HOU @ UTA,101,135,,No mobile play-by-play rows found for game_id 0022100865.
2021-22,2021,Regular Season,0022100866,2022-02-14,GSW,LAC,GSW @ LAC,104,119,,No mobile play-by-play rows found for game_id 0022100866.
2021-22,2021,Regular Season,0022100867,2022-02-15,CLE,ATL,CLE @ ATL,116,124,,No mobile play-by-play rows found for game_id 0022100867.
2021-22,2021,Regular Season,0022100868,2022-02-15,DAL,MIA,DAL @ MIA,107,99,,No mobile play-by-play rows found for game_id 0022100868.
2021-22,2021,Regular Season,0022100869,2022-02-15,BOS,PHI,BOS @ PHI,135,87,,No mobile play-by-play rows found for game_id 0022100869.
2021-22,2021,Regular Season,0022100870,2022-02-15,IND,MIL,IND @ MIL,119,128,,No mobile play-by-play rows found for game_id 0022100870.
2021-22,2021,Regular Season,0022100871,2022-02-15,CHA,MIN,CHA @ MIN,120,126,,No mobile play-by-play rows found for game_id 0022100871.
2021-22,2021,Regular Season,0022100873,2022-02-15,LAC,PHX,LAC @ PHX,96,103,,No mobile play-by-play rows found for game_id 0022100873.
2021-22,2021,Regular Season,0022100874,2022-02-16,ATL,ORL,ATL @ ORL,130,109,,No mobile play-by-play rows found for game_id 0022100874.
2021-22,2021,Regular Season,0022100872,2022-02-15,MEM,NOP,MEM @ NOP,121,109,,No mobile play-by-play rows found for game_id 0022100872.
2021-22,2021,Regular Season,0022100875,2022-02-16,DET,BOS,DET @ BOS,112,111,,No mobile play-by-play rows found for game_id 0022100875.
2021-22,2021,Regular Season,0022100876,2022-02-16,WAS,IND,WAS @ IND,108,113,,No mobile play-by-play rows found for game_id 0022100876.
2021-22,2021,Regular Season,0022100877,2022-02-16,BKN,NYK,BKN @ NYK,111,106,,No mobile play-by-play rows found for game_id 0022100877.
2021-22,2021,Regular Season,0022100879,2022-02-16,POR,MEM,POR @ MEM,123,119,,No mobile play-by-play rows found for game_id 0022100879.
2021-22,2021,Regular Season,0022100878,2022-02-16,SAC,CHI,SAC @ CHI,118,125,,No mobile play-by-play rows found for game_id 0022100878.
2021-22,2021,Regular Season,0022100880,2022-02-16,TOR,MIN,TOR @ MIN,103,91,,No mobile play-by-play rows found for game_id 0022100880.
2021-22,2021,Regular Season,0022100881,2022-02-16,SAS,OKC,SAS @ OKC,114,106,,No mobile play-by-play rows found for game_id 0022100881.
2021-22,2021,Regular Season,0022100882,2022-02-16,HOU,PHX,HOU @ PHX,121,124,,No mobile play-by-play rows found for game_id 0022100882.
2021-22,2021,Regular Season,0022100883,2022-02-16,DEN,GSW,DEN @ GSW,117,116,,No mobile play-by-play rows found for game_id 0022100883.
2021-22,2021,Regular Season,0022100884,2022-02-16,UTA,LAL,UTA @ LAL,101,106,,No mobile play-by-play rows found for game_id 0022100884.
2021-22,2021,Regular Season,0022100885,2022-02-17,MIA,CHA,MIA @ CHA,111,107,,No mobile play-by-play rows found for game_id 0022100885.
2021-22,2021,Regular Season,0022100464,2022-02-17,WAS,BKN,WAS @ BKN,117,103,,No mobile play-by-play rows found for game_id 0022100464.
2021-22,2021,Regular Season,0022100886,2022-02-17,DAL,NOP,DAL @ NOP,125,118,,No mobile play-by-play rows found for game_id 0022100886.
2021-22,2021,Regular Season,0022100887,2022-02-17,PHI,MIL,PHI @ MIL,123,120,,No mobile play-by-play rows found for game_id 0022100887.
2021-22,2021,Regular Season,0022100888,2022-02-17,HOU,LAC,HOU @ LAC,111,142,,No mobile play-by-play rows found for game_id 0022100888.
2021-22,2021,Regular Season,0022100889,2022-02-24,CLE,DET,CLE @ DET,103,106,,No mobile play-by-play rows found for game_id 0022100889.
2021-22,2021,Regular Season,0022100890,2022-02-24,BOS,BKN,BOS @ BKN,129,106,,No mobile play-by-play rows found for game_id 0022100890.
2021-22,2021,Regular Season,0022100891,2022-02-24,ATL,CHI,ATL @ CHI,108,112,,No mobile play-by-play rows found for game_id 0022100891.
2021-22,2021,Regular Season,0022100892,2022-02-24,MEM,MIN,MEM @ MIN,114,119,,No mobile play-by-play rows found for game_id 0022100892.
2021-22,2021,Regular Season,0022100893,2022-02-24,PHX,OKC,PHX @ OKC,124,104,,No mobile play-by-play rows found for game_id 0022100893.
2021-22,2021,Regular Season,0022100894,2022-02-24,GSW,POR,GSW @ POR,132,95,,No mobile play-by-play rows found for game_id 0022100894.
2021-22,2021,Regular Season,0022100896,2022-02-25,TOR,CHA,TOR @ CHA,93,125,,No mobile play-by-play rows found for game_id 0022100896.
2021-22,2021,Regular Season,0022100895,2022-02-24,DEN,SAC,DEN @ SAC,128,110,,No mobile play-by-play rows found for game_id 0022100895.
2021-22,2021,Regular Season,0022100897,2022-02-25,OKC,IND,OKC @ IND,129,125,,No mobile play-by-play rows found for game_id 0022100897.
2021-22,2021,Regular Season,0022100898,2022-02-25,HOU,ORL,HOU @ ORL,111,119,,No mobile play-by-play rows found for game_id 0022100898.
2021-22,2021,Regular Season,0022100899,2022-02-25,SAS,WAS,SAS @ WAS,157,153,,No mobile play-by-play rows found for game_id 0022100899.
2021-22,2021,Regular Season,0022100900,2022-02-25,MIA,NYK,MIA @ NYK,115,100,,No mobile play-by-play rows found for game_id 0022100900.
2021-22,2021,Regular Season,0022100901,2022-02-25,PHI,MIN,PHI @ MIN,133,102,,No mobile play-by-play rows found for game_id 0022100901.
2021-22,2021,Regular Season,0022100902,2022-02-25,NOP,PHX,NOP @ PHX,117,102,,No mobile play-by-play rows found for game_id 0022100902.
2021-22,2021,Regular Season,0022100903,2022-02-25,DAL,UTA,DAL @ UTA,109,114,,No mobile play-by-play rows found for game_id 0022100903.
2021-22,2021,Regular Season,0022100904,2022-02-25,LAC,LAL,LAC @ LAL,105,102,,No mobile play-by-play rows found for game_id 0022100904.
2021-22,2021,Regular Season,0022100905,2022-02-26,BOS,DET,BOS @ DET,113,104,,No mobile play-by-play rows found for game_id 0022100905.
2021-22,2021,Regular Season,0022100906,2022-02-26,TOR,ATL,TOR @ ATL,100,127,,No mobile play-by-play rows found for game_id 0022100906.
2021-22,2021,Regular Season,0022100908,2022-02-26,SAS,MIA,SAS @ MIA,129,133,,No mobile play-by-play rows found for game_id 0022100908.
2021-22,2021,Regular Season,0022100909,2022-02-26,MEM,CHI,MEM @ CHI,116,110,,No mobile play-by-play rows found for game_id 0022100909.
2021-22,2021,Regular Season,0022100907,2022-02-26,WAS,CLE,WAS @ CLE,86,92,,No mobile play-by-play rows found for game_id 0022100907.
2021-22,2021,Regular Season,0022100910,2022-02-26,BKN,MIL,BKN @ MIL,126,123,,No mobile play-by-play rows found for game_id 0022100910.
2021-22,2021,Regular Season,0022100912,2022-02-27,PHI,NYK,PHI @ NYK,125,109,,No mobile play-by-play rows found for game_id 0022100912.
2021-22,2021,Regular Season,0022100911,2022-02-26,SAC,DEN,SAC @ DEN,110,115,,No mobile play-by-play rows found for game_id 0022100911.
2021-22,2021,Regular Season,0022100913,2022-02-27,UTA,PHX,UTA @ PHX,118,114,,No mobile play-by-play rows found for game_id 0022100913.
2021-22,2021,Regular Season,0022100914,2022-02-27,BOS,IND,BOS @ IND,107,128,,No mobile play-by-play rows found for game_id 0022100914.
2021-22,2021,Regular Season,0022100915,2022-02-27,DET,CHA,DET @ CHA,127,126,,No mobile play-by-play rows found for game_id 0022100915.
2021-22,2021,Regular Season,0022100916,2022-02-27,LAC,HOU,LAC @ HOU,99,98,,No mobile play-by-play rows found for game_id 0022100916.
2021-22,2021,Regular Season,0022100917,2022-02-27,DAL,GSW,DAL @ GSW,107,101,,No mobile play-by-play rows found for game_id 0022100917.
2021-22,2021,Regular Season,0022100918,2022-02-27,DEN,POR,DEN @ POR,124,92,,No mobile play-by-play rows found for game_id 0022100918.
2021-22,2021,Regular Season,0022100920,2022-02-28,MIN,CLE,MIN @ CLE,127,122,,No mobile play-by-play rows found for game_id 0022100920.
2021-22,2021,Regular Season,0022100919,2022-02-27,NOP,LAL,NOP @ LAL,123,95,,No mobile play-by-play rows found for game_id 0022100919.
2021-22,2021,Regular Season,0022100726,2022-02-28,TOR,BKN,TOR @ BKN,133,97,,No mobile play-by-play rows found for game_id 0022100726.
2021-22,2021,Regular Season,0022100921,2022-02-28,IND,ORL,IND @ ORL,103,119,,No mobile play-by-play rows found for game_id 0022100921.
2021-22,2021,Regular Season,0022100923,2022-02-28,SAS,MEM,SAS @ MEM,105,118,,No mobile play-by-play rows found for game_id 0022100923.
2021-22,2021,Regular Season,0022100922,2022-02-28,CHI,MIA,CHI @ MIA,99,112,,No mobile play-by-play rows found for game_id 0022100922.
2021-22,2021,Regular Season,0022100924,2022-02-28,CHA,MIL,CHA @ MIL,106,130,,No mobile play-by-play rows found for game_id 0022100924.
2021-22,2021,Regular Season,0022100925,2022-02-28,SAC,OKC,SAC @ OKC,131,110,,No mobile play-by-play rows found for game_id 0022100925.
2021-22,2021,Regular Season,0022100926,2022-03-01,DET,WAS,DET @ WAS,113,116,,No mobile play-by-play rows found for game_id 0022100926.
2021-22,2021,Regular Season,0022100927,2022-03-01,ATL,BOS,ATL @ BOS,98,107,,No mobile play-by-play rows found for game_id 0022100927.
2021-22,2021,Regular Season,0022100928,2022-03-01,BKN,TOR,BKN @ TOR,108,109,,No mobile play-by-play rows found for game_id 0022100928.
2021-22,2021,Regular Season,0022100929,2022-03-01,LAC,HOU,LAC @ HOU,113,100,,No mobile play-by-play rows found for game_id 0022100929.
2021-22,2021,Regular Season,0022100931,2022-03-01,DAL,LAL,DAL @ LAL,109,104,,No mobile play-by-play rows found for game_id 0022100931.
2021-22,2021,Regular Season,0022100930,2022-03-01,GSW,MIN,GSW @ MIN,114,129,,No mobile play-by-play rows found for game_id 0022100930.
2021-22,2021,Regular Season,0022100932,2022-03-02,CHA,CLE,CHA @ CLE,119,98,,No mobile play-by-play rows found for game_id 0022100932.
2021-22,2021,Regular Season,0022100933,2022-03-02,IND,ORL,IND @ ORL,122,114,,No mobile play-by-play rows found for game_id 0022100933.
2021-22,2021,Regular Season,0022100934,2022-03-02,NYK,PHI,NYK @ PHI,108,123,,No mobile play-by-play rows found for game_id 0022100934.
2021-22,2021,Regular Season,0022100935,2022-03-02,UTA,HOU,UTA @ HOU,132,127,,No mobile play-by-play rows found for game_id 0022100935.
